mol,sn,Mult,eV,nm,f,orb,tdmx,tdmy,tdmz,dips,tvdmx,tvdmy,tvdmz,dipsv,tmdmx,tmdmy,tmdmz,rotxx,rotyy,rotzz,R,EMangle,rotlxx,rotlyy,rotlzz,Rl
hod0372,1,Singlet,2.7713,447.39,0.0177,H1-L:0.556;H-L:0.305,0.4026,-0.3141,0.0051,0.2607,-0.0396,0.0323,-0.0033,0.0026,0.0090,0.4670,0.0723,43.8270,1.7257,54.9407,33.4978,53.28,-2.5498,103.7055,-0.2592,33.6322
hod0373,1,Singlet,2.0584,602.33,0.0065,H-L:0.922,0.2446,-0.2621,0.0264,0.1293,-0.0178,0.0199,-0.0047,0.0007,-0.2290,0.2095,0.2167,10.1072,12.8009,44.4152,22.4411,45.34,39.6100,38.8271,-4.0386,24.7995
hod0374,1,Singlet,3.0799,402.55,0.0112,H1-L:0.707;H-L:0.172,0.0667,0.3739,-0.0614,0.1480,-0.0077,-0.0434,0.0034,0.0020,-0.1772,-0.0419,-0.2544,6.5605,-0.1938,8.0923,4.8197,80.36,8.3566,11.0664,-11.0512,2.7906
hod0375,1,Singlet,2.9477,420.61,0.0178,H-L:0.839;H1-L:0.048,0.0414,0.4904,0.0660,0.2466,-0.0032,-0.0531,-0.0035,0.0028,-0.1014,-0.2866,0.0031,39.3152,1.2813,60.8537,33.8167,16.61,2.9709,99.3968,-0.1423,34.0751
hod0376,1,Singlet,2.4307,510.07,0.0166,H-L:0.907;H1-L:0.024,0.3860,-0.3555,0.0603,0.2790,-0.0322,0.0321,-0.0032,0.0021,0.1348,0.0674,-0.1945,-0.2514,-9.2334,-2.8100,-4.0983,97.96,-36.7893,16.9425,8.2932,-3.8512
hod0377,1,Singlet,2.6934,460.33,0.0369,H1-L:0.551;H-L:0.245,0.6853,-0.2927,0.0596,0.5588,-0.0678,0.0295,-0.0035,0.0055,-0.2104,-0.2644,0.1898,-23.5398,47.4871,17.4846,13.8106,78.34,101.9813,-54.7248,-7.9949,13.0872
hod0378,1,Singlet,1.8726,662.09,0.0059,H-L:0.941,0.1215,-0.3315,-0.0583,0.1280,-0.0087,0.0223,0.0007,0.0006,-0.1277,0.1013,-0.1279,11.3824,4.3750,17.9405,11.2326,48.65,10.9731,23.7431,-5.2752,9.8137
hod0379,1,Singlet,2.7861,445.01,0.0221,H-L:0.884,-0.1943,0.5316,-0.0595,0.3239,0.0185,-0.0556,0.0043,0.0034,-0.1945,-0.3767,0.4648,61.1348,-3.4317,75.9005,44.5345,58.42,-26.7313,141.6231,19.5495,44.8138
hod0380,1,Singlet,2.3922,518.3,0.0124,H-L:0.613;H1-L:0.308,-0.0556,0.4556,-0.0100,0.2108,0.0055,-0.0399,-0.0013,0.0016,-0.0808,-0.1591,-0.1614,30.0098,0.1777,19.0514,16.4130,50.88,-3.1768,51.2778,-1.1410,15.6534
hod0381,1,Singlet,2.3288,532.4,0.0163,H1-L:0.922,0.1308,0.5107,-0.0881,0.2857,-0.0115,-0.0437,0.0048,0.0021,-0.1231,-0.0269,-0.2603,6.5738,-0.9594,5.3701,3.6615,84.20,11.3870,9.7276,-16.2188,1.6320
hod0382,1,Singlet,2.7162,456.47,0.0203,H-L:0.658;H1-L:0.266,-0.1655,0.5232,-0.0661,0.3055,0.0144,-0.0519,0.0041,0.0029,-0.1750,-0.2376,0.0018,31.9072,-7.6332,45.2444,23.1728,51.99,-20.4800,87.8954,0.0838,22.4997
hod0383,1,Singlet,2.3209,534.21,0.0152,H-L:0.9;H-L1:0.05,-0.1059,-0.5056,-0.0071,0.2669,0.0069,0.0425,0.0026,0.0019,-0.0534,0.3672,0.1326,59.1081,1.8303,68.4058,43.1147,23.54,-3.9963,131.2967,0.6698,42.6567
hod0384,1,Singlet,2.4009,516.4,0.0358,H1-L:0.409;H-L:0.394,-0.5824,-0.4929,-0.1651,0.6093,0.0508,0.0425,0.0118,0.0045,-0.1486,0.5090,-0.0036,63.6886,-28.4565,77.1316,37.4546,66.84,-61.1858,177.3989,-0.4190,38.5980
hod0385,1,Singlet,2.8541,434.41,0.0376,H-L:0.638;H3-L:0.121,-0.0757,0.7236,0.0882,0.5372,0.0073,-0.0755,-0.0062,0.0058,-0.0318,-0.2429,-0.0814,54.5533,1.7466,69.1310,41.8103,18.67,-1.6998,124.2965,5.0748,42.5572
hod0386,1,Singlet,2.4177,512.82,0.0247,H-L:0.766;H1-L:0.091,-0.0869,-0.6351,-0.0791,0.4172,0.0070,0.0578,0.0047,0.0034,-0.2121,0.1720,0.1661,41.9783,-3.9379,35.5492,24.5298,60.30,-13.0262,77.2702,9.2932,24.5124
hod0387,1,Singlet,2.2636,547.72,0.0176,H-L:0.939,0.5041,0.2304,-0.1049,0.3182,-0.0404,-0.0201,0.0057,0.0021,-0.0714,0.1574,-0.3528,-12.4595,1.9762,-9.1990,-6.5608,97.45,25.4561,-25.6481,-26.1840,-8.7920
hod0388,1,Singlet,2.1822,568.16,0.0201,H-L:0.742;H1-L:0.136,-0.2304,-0.5636,0.0677,0.3753,0.0181,0.0444,-0.0039,0.0023,0.1355,0.0666,0.2614,19.8987,2.5235,16.3123,12.9115,72.39,22.0886,26.5487,-12.5162,12.0404
hod0389,1,Singlet,2.8548,434.3,0.0375,H-L:0.798;H-L1:0.056,-0.1637,-0.6899,-0.1838,0.5366,0.0167,0.0717,0.0166,0.0057,0.2319,0.2679,-0.1321,57.7075,8.8463,74.1556,46.9031,42.98,26.8490,130.6900,-17.1717,46.7891
